NO,Title.of.Program,LOCATION,Executing.Firm,CONSULTANT,Start.Date,Anticipated.Completion.Date,Contract.Sum,Funding.Sources,Status.of.Project,,,,,,,,,,,,,,,,
96.      ,Construction of 2-Storey  Girls Dormitory Block,Armed Forces Senior High/Tec. Sch,Messrs Lack Bertus Ltd,Metro Works Department,"Monday, December 11, 2023",9 Months,"841,506.94",GETFund,Not Yet Started,,,,,,,,,,,,,,,,
97.      ,Construction of Assembly Hall,Osu Presby Senior High,Messrs Halfast Ltd,Metro Works Department,"Monday, January 12, 2009",9 Months,"854,917.80",GETFund,Not Yet Started,,,,,,,,,,,,,,,,
98.      ,Construction of 2-Storey Admin/Library Block,Accra Academy,Messrs Segonate Ltd,Metro Works Department,"Monday, January 12, 2009",12 Months,"520,182.85",GETFund,Not Yet Started,,,,,,,,,,,,,,,,
99.      ,Continuation and completion of 3-storey 18-unit classroom block with ancillary facilities at Ayalolo Cluster of Schools,Ayalolo,Messrs Yakon Investment,Metro Works Department,"Monday, April 16, 2007","Oct, 2017","2,944,406.00",IGF,Ongoing,,,,,,,,,,,,,,,,
100.   ,"Construction of 3-Storey 9-Unit Classroom Block with Ancillary Facilities at Private Odartey Lamptey, High Street",High Street,Messrs Trustcot Company Limited,Metro Works Department,"Tuesday, February 11, 2003",12 Months,"470,236.84",GETFUND/SUTEmIP,On-going,,,,,,,,,,,,,,,,
101.   ,Set-up of Sanitation Court,Ablekuma Central,AMA,Waste Management Dept,-,-,-,IGF,Completed,,,,,,,,,,,,,,,,
102.   ,Set-up of Sanitation Court,James Town,AMA,Waste Management Dept,-,-,-,IGF,Completed,,,,,,,,,,,,,,,,
103.   ,Purchase of 20 No.Bola Taxis,Metro-wide,AMA,Waste Management Dept,-,-,-,IGF,Completed,,,,,,,,,,,,,,,,
104.   ,Construction of mini transfer facility at Kokomlemle,Kokomlemle,AMA,Waste Management Dept,-,-,-,IGF,Completed,,,,,,,,,,,,,,,,
105.   ,Construction of sanitation court,Osu Klottey,AMA,Waste Management Dept,-,-,-,IGF,Completed,,,,,,,,,,,,,,,,
106.   ,Construction of Sanitation court at Ayawaso East,Ayawaso East,AMA,Waste Management Dept,-,-,-,IGF,Completed,,,,,,,,,,,,,,,,
107.   ,Distribution of waste Bin,Metro-Wide,AMA,Waste Management Dept,-,-,-,ESPA/ AMA,On-going,,,,,,,,,,,,,,,,
108.   ,Distribution of  200 tricycles,Metro-Wide,AMA,Waste Management Dept,-,-,-,ESPA/ AMA,On-going,,,,,,,,,,,,,,,,
109.   ,Rehabilitation And Extension Of Sanitary Sewer Network In Accra Area (Lot 1),"University of Ghana- Legon, UPSA, Presec, Achimota",AMA,ASIP,-,-,"9,846,830.53",AfDB,Completed,,,,,,,,,,,,,,,,
110.   ,"Legon Sewage Treatment Plant And Associated Works (Access Road, Pumping Stations Rising Mains, Rehabilitation And Construction Of Offices And Yard Etc.)","University of Ghana- Legon, UPSA, Presec, Accra High School, ASIP Yard",AMA,ASIP,"Monday, April 12, 2004",3  Months,"29,834,950.97",AfDB,Completed,,,,,,,,,,,,,,,,
111.   ,Construction of additional Septic Tank and Alteration works on existing fence wall for M1 Mamprobi Socco Compound,Mamprobi,Messrs N-Plan Company Limited,ASIP,"Thursday, February 13, 2020",3 weeks,"48,495.12",IGF,Completed,,,,,,,,,,,,,,,,
112.   ,"Mamprobi Sempe Sanitary Site, Adjacent to Sempe 1 School, 20-Seater WC Public Toilets",Mamprobi,Katanga Co. Ltd,ASIP,"Saturday, August 10, 2002",3 Months,"93,565.95",AfDB,On-going,,,,,,,,,,,,,,,,
113.   ,"Shalom/Kwashieman Sanitary Site, 20-Seater WC Public Toilets",Kwashieman,Koajay Ltd,ASIP,"Saturday, August 10, 2002",3 Months,"109,117.15",AFDB,Completed,,,,,,,,,,,,,,,,
114.   ,"Maamobi Prison School (Boster Institute), 20-Seater WC Public Toilets",Maamobi,Messrs Koajay Ltd,ASIP,"Friday, October 10, 2025",3 Months,"109,117.15",AfDB,Completed,,,,,,,,,,,,,,,,
115.   ,"Abelenkpe JHS, 20-Seater WC Public Toilets",Maamobi,Messrs Koajay Ltd,ASIP,"Friday, October 10, 2025",3 Months,"109,117.15",AfDB,Completed,,,,,,,,,,,,,,,,
116.   ,"Awudome JHS, 20-Seater WC Public Toilets",Ablenkpe,Messrs Koajay Ltd,ASIP,"Friday, October 10, 2025",3 Months,"109,117.15",AfDB,Completed,,,,,,,,,,,,,,,,
117.   ,"Academy SHS, 20-Seater WC Public Toilets",Awudome,Messrs Tankos Hardwork Ltd,ASIP,"Wednesday, November 10, 2010",3 Months,"79,816.66",AfDB,Completed,,,,,,,,,,,,,,,,
118.   ,"Kingsway Cluster of Schools, 20-Seater WC Public Toilets",Okaikoi South,Messrs Tankos Hardwork Ltd,ASIP,"Monday, October 10, 2005",3 Months,"79,816.66",AfDB,Completed,,,,,,,,,,,,,,,,
119.   ,"Alogbloshie Cluster of Schools, 20-Seater WC Public Toilets",Alogbloshie,Messrs Nawkton Ltd,ASIP,"Monday, October 10, 2005",3 Months,"102,463.91",AfDB,Completed,,,,,,,,,,,,,,,,
120.   ,Site opposites Korle Bu Teaching Hospital,Korle Bu,Anansu Trust,ASIP,"Thursday, September 10, 2009",3 Months,"108,028.59",AfDB,Completed,,,,,,,,,,,,,,,,
121.   ,Construction of 20-Seater toilet facility at Kaneshie ‘1’ Cluster of Schools,Okaikoi South,Messrs Malin Investment,ASIP,-,-,"243,091.05",ASIP (AfDB),completed,,,,,,,,,,,,,,,,
122.   ,Construction of 12 No. & 3 No. WC toilets facilities for the newly created La Dadekotpon Municipal Assembly,LA,Messrs N-Plan Limited,ASIP,-,-,"127,945.03",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
123.   ,"Sempe School Toilet, 20-Seater WC Public Toilets",Sempe,Katanga Co. Ltd,ASIP,-,-,"93,565.95",ASIP (AfDB),Site has been abandoned,,,,,,,,,,,,,,,,
124.   ,Construction of Septic Tank for liberty Avenue Cluster of Schools within Klottey Korle Constituency,Adabraka,Halfast Limited,ASIP,"Saturday, August 10, 2002",3 Months,"49,143.89",ASIP (AfDB),Awarded,,,,,,,,,,,,,,,,
125.   ,"Mamprobi Site 15, 20-Seater WC Public Toilets",Mamprobi,Katanca Co. Ltd,ASIP,"Saturday, August 10, 2002",3 Months,"93,565.95",AfDB,`Completed,,,,,,,,,,,,,,,,
126.   ,"Chorkor (Toilet No. 2) Site retained, 20-Seater WC Public Toilets",Chorkor,Prefos Ltd,ASIP,"Tuesday, November 12, 2019",12 Weeks,"110,718.24",ASIP (AfDB),Construction did not commerce,,,,,,,,,,,,,,,,
127.   ,"Mamprobi Site 13, 20-Seater WC Public Toilets",Mamprobi,Prefos Ltd,ASIP,"Saturday, August 10, 2002",3 Months,"110,718.24",ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
128.   ,"Sanitary  Site Opposite Korle Gonno RC School, 20-Seater WC Public Toilets",Korle Gonno,Prefos Ltd,ASIP,"Saturday, August 10, 2002",3 Months,"110,718.24",ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
129.   ,"Socco Primary School (M 1), 20-Seater WC Public Toilets",Ablekuma South,Jamop Ltd,ASIP,"Saturday, August 10, 2002",3 Months,"91,633.68",ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
130.   ,"Mataheko, Dansoman Trotro Station, 20-Seater WC Public Toilets",Mataheko,Jampo Ltd,ASIP,"Saturday, August 10, 2002",3 Months,"91,633.68",ASIP (AfDB),Construction did not commerce,,,,,,,,,,,,,,,,
131.   ,"Town Council Line B/N Toilet and Parliament, 20-Seater WC Public Toilets",Ablekuma Central,Jampo Ltd,ASIP,"Monday, October 10, 2005",3 Months,"91,633.68",ASIP (AfDB),Recommended for termination,,,,,,,,,,,,,,,,
132.   ,"Site opposite Apostolic Church, 20-Seater WC Public Toilets",Okaikoi North,Environmental Eng. Ltd,ASIP,"Saturday, September 10, 2005",3 Months,"114,356.81",ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
133.   ,"Site opposite Kissieman Junction, 20-Seater WC Public Toilets",Kisseman,Environmental Eng. Ltd,ASIP,"Friday, August 10, 2001",3 Months,"114,356.81",ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
134.   ,"Akweteyman Anglican School / Church (St Andrews), 20-Seater WC Public Toilets",Akweteyman,Environmental Eng. Ltd,ASIP,"Friday, August 10, 2001",3 Months,"114,356.81",ASIP (AfDB),Site Abandoned due to litigation,,,,,,,,,,,,,,,,
135.   ,"Osu Castle Clinic, 20-Seater WC Public Toilets",Osu Klottey,Anansu Trust,ASIP,"Friday, August 10, 2001",3 Months,"54,014.30",ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
136.   ,"Bro Lawson, 20-Seater WC Public Toilets",Ablekuma South,Tallman House,ASIP,"Friday, September 10, 2010",3 Months,"59,743.33",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
137.   ,"Obedru, 20-Seater WC Public Toilets",Ablekuma South,Tallman House,ASIP,"Saturday, April 10, 2004",3 Months,"59,743.33",ASIP (AfDB),,,,,,,,,,,,,,,,,
138.   ,"Osu Ako Adjei Old Sanitary Site, 20-Seater WC Public Toilets",Ako Adjei,Tallman House,ASIP,"Friday, September 10, 2010",3 Months,"99,743.55",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
139.   ,"Kotobabi, 20-Seater WC Public Toilets",Kotobabi,Osamanpa Est Dev Ltd,ASIP,"Friday, August 10, 2001",3 Months,"114,809.07",AfDB,Completed,,,,,,,,,,,,,,,,
140.   ,"Pigfarm, 20-Seater WC Public Toilets",Pigfarm,Osamanpa Est Dev Ltd,ASIP,"Friday, August 10, 2001",3 Months,"114,809.07",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
141.   ,"Ayalolo Cluster of Schools, 20 Seater Public Toilets",Ashiedu Keteke,Tonyman,ASIP,"Saturday, August 10, 2002",3 Months,"91,261.06",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
142.   ,"Adabraka Boundary Road Cluster of Schools, 20-Seater WC Public Toilets",Adabraka,Tonyman,ASIP,"Saturday, August 10, 2002",3 Months,"91,261.06",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
143.   ,"Kwaotsuru (Initial Site at Ayidiki Replaced due to Litigation), 20-Seater WC Public Toilets",Alajo,Kwamerk Const. Ltd,ASIP,"Friday, February 10, 2017",3 Months,"85,141.40",ASIP (AfDB),Recommended for termination,,,,,,,,,,,,,,,,
144.   ,"Alajo, Behind the Presby, 20-Seater WC Public Toilets",Alajo,Kwamerk Const. Ltd,ASIP,"Monday, August 10, 2015",3 Months,"85,141.40",ASIP (AfDB),Site taken over by Sub Metro Chairman,,,,,,,,,,,,,,,,
145.   ,"Alajo, Behind the Cluster of Schools, 20-Seater WC Public Toilets",Alajo,Kwamerk Const. Ltd,ASIP,"Thursday, September 10, 2015",3 Months,"85,141.40",ASIP (AfDB),Site taken over by Sub Metro Chairman,,,,,,,,,,,,,,,,
146.   ,Construction of University of Ghana Sewerage Treatment Work and Associated Works,Ayawaso West,Jos Hansen (Germany) / Costain (West Africa) Plc,ASIP,"Thursday, September 10, 2015",3 Months,"22,478,457.16",ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
147.   ,De-commissioning of Sewerage Dumping Site at Lavender Hill-Korle Gonno and Replacement with two (2) Sewerage Digester Plants at Mudor and Achimota,Ablekuma South & Okaikoi North,Sino Africa Development Co. Ltd / Fk Slauson (Gh) Ltd,ASIP,"Sunday, October 10, 2027",18 Months,"11,375,000.00",ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
148.   ,Implementation of Accra Sanitary Sewer and Storm Drain Alleviation project,-,-,ASIP,"Monday, April 12, 2004",3  Months,USD 663M,ASIP (AfDB),Preparatory activities on-going,,,,,,,,,,,,,,,,
149.   ,Construction of 20-Seater toilet facility at Ministry of Health Basic School,Ablekuma South,Faps Construction Work Ltd,-,-,-,-,ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
150.   ,Construction of 20-Seater toilet facility at Star of the Sea R/C Basic School,Ablekuma South,Faps Construction Work Ltd,-,-,-,-,ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
151.   ,Construction of 20-Seater toilet facility at Mataheko R/C Cluster of Schools,Ablekuma Central,Jephi Ltd.,-,-,-,-,ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
152.   ,Construction of 20-Seater toilet facility at JT Cluster of Schools,Ablekuma Central,Jephi Ltd.,-,-,-,-,ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
153.   ,Construction of 20-Seater toilet facility at St. Mary’s Basic School,Ablekuma South,Cravers (GH) Ltd,-,-,-,-,ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
154.   ,Construction of 20-Seater toilet facility at Lartebiokorshie A&B JHS,Ablekuma Central,Cravers (GH) Ltd,-,-,-,-,ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
155.   ,Construction of 20-Seater toilet facility at Kaneshie Anglican Cluster of Schools,Okaikoi South,Malin Investment,-,-,-,-,ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
156.   ,Construction of 20-Seater toilet facility at Kaneshie ‘1’ Cluster of Schools,Okaikoi South,Malin Investment,-,-,-,-,ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
157.   ,Construction of 20-Seater toilet facility at Apenkwa Presby Cluster of Schools,Okaikoi North,Magad Company Ltd,-,-,-,-,ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
158.   ,Construction of 20-Seater toilet facility at A.M.E Zion Cluster of Schools,Ablekuma Central,Magad Company Ltd,-,-,-,-,ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
159.   ,Construction of 20-Seater toilet facility at La Bawaleshie Presby Cluster of Schools,Ayawaso West,E.D. John Construction,-,-,-,-,ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
160.   ,Construction of 10-Seater toilet facility at Dzorwulu Bethany Methodist Basic School,Ayawaso West,E.D. John Construction,-,-,-,-,ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
161.   ,Construction of 20-Seater toilet facility at Pig Farm Prim. & JHS,Ayawaso Central,Metropolitan Property Holdings,-,-,-,-,ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
162.   ,Construction of 10-Seater toilet facility at Abavana Down Cluster of Schools,Ayawaso Central,Metropolitan Property Holdings,-,-,-,-,ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
163.   ,Construction of 20-Seater toilet facility at Institute of Islamic Studies Basic School,Ayawaso East,Rock Everest Trading and Construction,-,-,-,-,ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
164.   ,Construction of 20-Seater toilet facility at Kanda Cluster of Schools,Ayawaso East,Rock Everest Trading and Construction,-,-,-,-,ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
165.   ,Construction of 20-Seater toilet facility at Teacher Mota/Osu Presby 2 Boys,Osu Klottey,Global N S Ltd,-,-,-,-,ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
166.   ,Construction of 20-Seater toilet facility at St. Joseph’s R/C Basic School,Osu Klottey,Global N S Ltd,-,-,-,-,ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
167.   ,Construction of 20-Seater toilet facility at James Town Methodist Cluster of Schools,Ashiedu Keteke,Biz 360 Limited,-,-,-,-,ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
168.   ,Construction of 20-Seater toilet facility at Private Odartey Lamptey Cluster,Ashiedu Keteke,Biz 360 Limited,-,-,-,-,ASIP (AfDB),On-going,,,,,,,,,,,,,,,,
169.   ,Construction of Borehole at Salvation Army School Compound – Millennium School Complex Block 2  ,Ablekuma South,-,-,-,-,"12,957.28",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
170.   ,Construction of Borehole at Salvation Army Compound – Millennium School Building (President Obama Centre) start here,Ablekuma South,-,-,-,-,"12,957.28",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
171.   ,Construction of Borehole at ASIP Toilet – Kaneshie Anglican Cluster of Schools,Okaikoi South,-,-,-,-,"12,957.28",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
172.   ,Construction of Borehole at ASIP Toilet – Kingsway Cluster of Schools,Osu Klottey,-,-,-,-,"12,957.28",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
173.   ,Construction of Borehole at ASIP Toilet- Salvation Army School Compound,Ablekuma South,-,-,-,-,"12,957.28",ASIP (AfDB),completed,,,,,,,,,,,,,,,,
174.   ,Construction of Borehole at A.M.E Zion Basic Schools,Ablekuma South,-,-,-,-,"12,957.28",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
175.   ,Construction of Borehole at Millennium School Complex Block Socco Compound,Ablekuma South,-,-,-,-,"12,957.28",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
176.   ,Construction of Borehole at Lartebiokorshie “1” Cluster of Schools,Ablekuma South,-,-,-,-,"12,957.28",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
177.   ,Construction of Borehole at St. Mary’s R/C Basic School,Ablekuma South,-,-,-,-,"12,957.28",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
178.   ,Construction of Borehole at Abavana Cluster of Schools – AMA/ASIP Toilet Block,Ayawaso Central,-,-,-,-,"13,200.00",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
179.   ,Construction of Borehole at Accra High Pumping Station,Osu Klottey,-,-,-,-,"13,200.00",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
180.   ,Construction of Borehole at Maamobi Prison School (Boster Institute),Ayawaso West,-,-,-,-,"13,200.00",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
181.   ,Construction of Borehole at St. Joseph’s R/C Basic,Osu Klottey,-,-,-,-,"12,957.28",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
182.   ,Construction of Borehole at Osu Presby Boys ‘2’ JHS/Teacher Mota Prim.,Osu Klottey,-,-,-,-,"12,957.28",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
183.   ,Renovation of 2No. Offices and Toilet Facility for Metro Security Department,High Street Accra,-,-,-,-,"32,987.87",IGF,Completed,,,,,,,,,,,,,,,,
184.   ,Procurement of 11No. Cesspit Emptiers and Sewer Maintenance Trucks and various maintenance equipment and tools,Metrowide,-,-,-,-,"20,197,628.32",ASIP (AfDB),Completed,,,,,,,,,,,,,,,,
185.   ,De-commissioning of Sewerage Dumping Site at Lavender Hill-Korle Gonno and Replacement with two (2) Sewerage Digester Plants at Mudor and Achimota,Ablekuma South & Okaikoi North,-,-,-,-,"11,375,000.00",AfDB,On-going,,,,,,,,,,,,,,,,
186.   ,Rehabilitation of the Mudor Treatment Plant,Ashiedu Keteke,-,-,-,-,,AfDB,On-going,,,,,,,,,,,,,,,,
187.   ,Contract 4 Phase Ii: Construction Of 2no. 20- Seater Water Closet Toilets  In Public Schools (Lot 2 - Ablekuma Central ),Ablekuma Central,-,-,-,-,"474,766.00",AfDB,On-going,,,,,,,,,,,,,,,,
188.   ,Dansoman Okpoti Millenium School Complex,Ablekuma South,-,-,-,-,"11,990.00",AfDB,Completed,,,,,,,,,,,,,,,,
189.   ,Accra Wesley Girls High School,Okaikoi South,-,-,-,-,"11,990.00",AfDB,On-going,,,,,,,,,,,,,,,,
190.   ,LU Pumping Station,Ablekuma South,-,-,-,-,"11,990.00",AfDB,Completed,,,,,,,,,,,,,,,,
191.   ,P1(IPS) Pumping Station,Ablekuma South,-,-,-,-,"11,990.00",AfDB,Completed,,,,,,,,,,,,,,,,
192.   ,PS(Atomic-Presec) Pumping Station,Atomic-Presec,-,-,-,-,"11,990.00",AfDB,Completed,,,,,,,,,,,,,,,,
193.   ,"Sempe School Toilet, 20-Seater Wc Public Toilets",Sempe,-,-,-,-,"93,565.95",AfDB,On-going,,,,,,,,,,,,,,,,
194.   ,Construction of Septic Tank for liberty Avenue Cluster of Schools within Klottey Korle Constituency,Osu-Klottey Adabraka,-,-,-,-,"49,143.89",Common Fund,Awarded,,,,,,,,,,,,,,,,
